Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Topological domain	Transmembrane	Subcellular location [CC]	Helix	Turn	Beta strand	RefSeq	BioGRID	STRING	Intramembrane
Q6NTL4	reviewed	GRP1_XENLA	RAS guanyl-releasing protein 1	rasgrp1	Xenopus laevis (African clawed frog)	791				SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Found both in the cytosol and associated with membranes. {ECO:0000250}.				NP_001084532.2;			
Q6P698	reviewed	PLSL_DANRE	Plastin-2 (L-plastin) (Lymphocyte cytosolic plastin 1)	lcp1 pls2	Danio rerio (Zebrafish) (Brachydanio rerio)	624				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P13796}. Cell junction {ECO:0000250|UniProtKB:P13796}. Cell projection {ECO:0000250|UniProtKB:P13796}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:P13796, ECO:0000250|UniProtKB:Q61233}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q61233}; Cytoplasmic side {ECO:0000250|UniProtKB:Q61233}.						7955.ENSDARP00000108316;	
Q6PI52	reviewed	CALM_DANRE	Calmodulin (CaM)	calm1a zgc:63926; calm1b; calm2a calm2d; calm2b zgc:64036; calm3a calm2g zgc:86728; calm3b zgc:76987	Danio rerio (Zebrafish) (Brachydanio rerio)	149								NP_892012.1;NP_955864.1;NP_956290.1;NP_956376.1;NP_998516.1;NP_999901.1;		7955.ENSDARP00000010393;	
Q6R556	reviewed	SEGN_RAT	Secretagogin	Scgn	Rattus norvegicus (Rat)	276	TISSUE SPECIFICITY: Highly expressed in pancreas, in particular in pancreatic islets and pancreatic beta-cells. Detected in prostate, adrenal gland, small intestine, stomach and thyroid (at protein level). {ECO:0000269|PubMed:17426113}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17426113}. Secreted {ECO:0000269|PubMed:17426113}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000269|PubMed:17426113}; Peripheral membrane protein {ECO:0000269|PubMed:17426113}; Cytoplasmic side {ECO:0000269|PubMed:17426113}. Note=Predominantly cytoplasmic. A small proportion is associated with secretory granules and membrane fractions. A small proportion is detected in the medium of cultured insuloma cells. Dexamethasone promotes the export into the culture medium.				NP_963855.1;	258584;	10116.ENSRNOP00000022329;	
Q6YNR6	reviewed	S100B_RABIT	Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B)	S100B	Oryctolagus cuniculus (Rabbit)	92				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.				NP_001076199.1;		9986.ENSOCUP00000001267;	
Q6ZSI9	reviewed	CAN12_HUMAN	Calpain-12 (EC 3.4.22.-) (Calcium-activated neutral proteinase 12) (CANP 12)	CAPN12	Homo sapiens (Human)	719								NP_653292.2;	127107;	9606.ENSP00000331636;	
Q757B7	reviewed	CANB_ASHGO	Calcineurin subunit B (Calcineurin regulatory subunit) (Protein phosphatase 2B regulatory subunit)	CNB1 AER096C	Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Eremothecium gossypii)	175								NP_984956.1;		33169.AAS52780;	
Q758X6	reviewed	GEM1_ASHGO	Mitochondrial Rho GTPase 1 (EC 3.6.5.-) (GTPase EF-hand protein of mitochondria 1)	GEM1 ADR402W	Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Eremothecium gossypii)	661		TOPO_DOM 1..626; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 648..661; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"	TRANSMEM 627..647; /note="Helical; Anchor for type IV membrane protein"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:P39722}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:P39722}.				NP_984497.1;		33169.AAS52321;	
Q75K28	reviewed	NCSA_DICDI	Calcium-binding protein NCSA (Neuronal calcium sensor 1 homolog)	ncsA DDB_G0275931	Dictyostelium discoideum (Social amoeba)	186								XP_643630.1;		44689.DDB0231007;	
Q7DMN9	reviewed	CALM5_SOLTU	Calmodulin-5/6/7/8 (CaM-5/6/7/8)	PCM5; PCM6; PCM7; PCM8	Solanum tuberosum (Potato)	149	TISSUE SPECIFICITY: High expression of PCM5 and 8 in stolon tips and stems, moderate in roots, and low in leaves. Steady-state expression of PCM6 in all the tissues tested, except in the leaves where the expression is lower. {ECO:0000269|PubMed:7727747}.				HELIX 7..20; /evidence="ECO:0007829|PDB:1RFJ"; HELIX 30..39; /evidence="ECO:0007829|PDB:1RFJ"; HELIX 46..56; /evidence="ECO:0007829|PDB:1RFJ"; HELIX 66..93; /evidence="ECO:0007829|PDB:1RFJ"; HELIX 103..111; /evidence="ECO:0007829|PDB:1RFJ"; HELIX 119..129; /evidence="ECO:0007829|PDB:1RFJ"; HELIX 139..146; /evidence="ECO:0007829|PDB:1RFJ"	TURN 112..114; /evidence="ECO:0007829|PDB:1RFJ"	STRAND 25..28; /evidence="ECO:0007829|PDB:1RFJ"; STRAND 61..64; /evidence="ECO:0007829|PDB:1RFJ"; STRAND 98..101; /evidence="ECO:0007829|PDB:1RFJ"; STRAND 134..138; /evidence="ECO:0007829|PDB:1RFJ"	NP_001275359.1;		4113.PGSC0003DMT400058435;	
Q7DMP0	reviewed	CALM2_SOLTU	Calmodulin-2/4 (CaM-2/4)	PCM2; PCM4	Solanum tuberosum (Potato)	124	TISSUE SPECIFICITY: Expression of PCM4 very low in stolon tips, stems, roots, leaves and tubers. PCM2 not detected in the organs tested. {ECO:0000269|PubMed:7727747}.										
Q7LZT1	reviewed	S10A1_MISFO	Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1)	s100a1	Misgurnus fossilis (Weatherfish) (Cobitis fossilis)	95				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P23297}. Sarcoplasmic reticulum {ECO:0000250|UniProtKB:P23297}. Mitochondrion {ECO:0000250|UniProtKB:P56565}.							
Q7M2V4	reviewed	MLRV_RABIT	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform (MLC-2) (MLC-2v) (Myosin light chain 2, slow skeletal/ventricular muscle isoform) (MLC-2s/v)	MYL2	Oryctolagus cuniculus (Rabbit)	165				SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, A band {ECO:0000250|UniProtKB:P08733}.						9986.ENSOCUP00000015748;	
Q7NK81	reviewed	TAL_GLOVI	Transaldolase (EC 2.2.1.2)	tal gll1597	Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)	389				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00492}.				NP_924543.1;WP_011141596.1;		251221.35212162;	
Q7PKQ5	reviewed	ACTN_ANOGA	Alpha-actinin, sarcomeric (F-actin cross-linking protein)	Actn AGAP001497	Anopheles gambiae (African malaria mosquito)	922								XP_321625.2;		7165.AGAP001497-PA;	
Q7RZA2	reviewed	GEM1_NEUCR	Mitochondrial Rho GTPase 1 (EC 3.6.5.-) (GTPase EF-hand protein of mitochondria 1)	gem-1 G17A4.060 NCU03966	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	629		TOPO_DOM 1..600; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 622..629; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"	TRANSMEM 601..621; /note="Helical; Anchor for type IV membrane protein"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:P39722}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:P39722}.				XP_957605.1;		5141.EFNCRP00000003564;	
Q7S9V9	reviewed	END3_NEUCR	Actin cytoskeleton-regulatory complex protein end-3 (Endocytosis protein 3)	end-3 NCU06347	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	396				SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Endosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm, cytoskeleton, actin patch {ECO:0000250}. Note=Cytoplasmic and cortical actin patches. {ECO:0000250}.				XP_962381.2;		5141.EFNCRP00000006129;	
Q7SAT8	reviewed	PAN1_NEUCR	Actin cytoskeleton-regulatory complex protein pan-1	pan-1 NCU06171	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1533				SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Endosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm, cytoskeleton, actin patch {ECO:0000250}. Note=Cytoplasmic and cortical actin patches. {ECO:0000250}.				XP_962740.1;		5141.EFNCRP00000005956;	
Q7SXV9	reviewed	CALUB_DANRE	Calumenin-B	calub	Danio rerio (Zebrafish) (Brachydanio rerio)	315				SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O43852}. Golgi apparatus {ECO:0000250|UniProtKB:O43852}. Secreted {ECO:0000250|UniProtKB:O43852}. Melanosome {ECO:0000250|UniProtKB:O43852}. Sarcoplasmic reticulum lumen {ECO:0000250|UniProtKB:O43852}.				NP_957376.1;		7955.ENSDARP00000106302;	
Q7T0U6	reviewed	SCM1B_XENLA	Calcium-binding mitochondrial carrier protein SCaMC-1-B (Small calcium-binding mitochondrial carrier protein 1-B) (Solute carrier family 25 member 24-B)	slc25a24-b scamc1-b	Xenopus laevis (African clawed frog)	473		TOPO_DOM 1..197; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"; TOPO_DOM 216..251; /note="Mitochondrial matrix"; /evidence="ECO:0000255"; TOPO_DOM 272..294; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"; TOPO_DOM 309..344; /note="Mitochondrial matrix"; /evidence="ECO:0000255"; TOPO_DOM 365..387; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"; TOPO_DOM 406..444; /note="Mitochondrial matrix"; /evidence="ECO:0000255"; TOPO_DOM 465..473; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"	TRANSMEM 198..215; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 252..271; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 295..308; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 345..364; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 388..405; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 445..464; /note="Helical; Name=6"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.				NP_001079858.1;XP_018114842.1;			
Q7U5E8	reviewed	TAL_PARMW	Transaldolase (EC 2.2.1.2)	tal SYNW1759	Parasynechococcus marenigrum (strain WH8102)	390				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00492}.				WP_011128619.1;		84588.SYNW1759;	
Q7V6B8	reviewed	TAL_PROMM	Transaldolase (EC 2.2.1.2)	tal PMT_1248	Prochlorococcus marinus (strain MIT 9313)	390				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00492}.				WP_011130617.1;		74547.PMT_1248;	
Q7XC27	reviewed	CNBL1_ORYSJ	Calcineurin B-like protein 1	CBL1 Os10g0564800 LOC_Os10g41510 OsJ_32489	Oryza sativa subsp. japonica (Rice)	213	TISSUE SPECIFICITY: Expressed in roots, shoots, culms and scutellum. {ECO:0000269|PubMed:15980189, ECO:0000269|PubMed:18395997}.			SUBCELLULAR LOCATION: Vacuole, aleurone grain membrane {ECO:0000269|PubMed:15980189}; Lipid-anchor {ECO:0000269|PubMed:15980189}. Note=Tonoplast. {ECO:0000305}.				XP_015614268.1;		4530.OS10T0564800-01;	
Q7Z572	reviewed	SPT21_HUMAN	Spermatogenesis-associated protein 21	SPATA21	Homo sapiens (Human)	469								NP_940948.1 [Q7Z572-1];XP_016856713.1 [Q7Z572-2];	131941;	9606.ENSP00000335612;	
Q7ZUC2	reviewed	CAB45_DANRE	45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4)	sdf4 cab45 zgc:76916	Danio rerio (Zebrafish) (Brachydanio rerio)	356				SUBCELLULAR LOCATION: Golgi apparatus lumen {ECO:0000250|UniProtKB:Q61112}.				NP_998252.1;		7955.ENSDARP00000094806;	
Q7ZYD5	reviewed	SCMC2_XENLA	Calcium-binding mitochondrial carrier protein SCaMC-2 (Small calcium-binding mitochondrial carrier protein 2) (Solute carrier family 25 member 25)	slc25a25 scamc2	Xenopus laevis (African clawed frog)	514		TOPO_DOM 1..234; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"; TOPO_DOM 253..289; /note="Mitochondrial matrix"; /evidence="ECO:0000255"; TOPO_DOM 310..332; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"; TOPO_DOM 347..382; /note="Mitochondrial matrix"; /evidence="ECO:0000255"; TOPO_DOM 403..425; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"; TOPO_DOM 444..482; /note="Mitochondrial matrix"; /evidence="ECO:0000255"; TOPO_DOM 503..514; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"	TRANSMEM 235..252; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 290..309; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 333..346; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 383..402; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 426..443; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 483..502; /note="Helical; Name=6"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.				NP_001080348.1;			
Q803V3	reviewed	P2R3C_DANRE	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma	ppp2r3c zgc:55473	Danio rerio (Zebrafish) (Brachydanio rerio)	457				SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9JK24}. Cytoplasm {ECO:0000250|UniProtKB:Q9JK24}.				NP_956425.1;		7955.ENSDARP00000064553;	
Q804W2	reviewed	PRV7_DANRE	Parvalbumin-7 (Parvalbumin alpha) (Parvalbumin-4a)	pvalb7 pvalb	Danio rerio (Zebrafish) (Brachydanio rerio)	109								NP_991137.2;XP_005161849.1;XP_017208596.1;		7955.ENSDARP00000113048;	
Q80XA6	reviewed	REPS2_MOUSE	RalBP1-associated Eps domain-containing protein 2 (Partner of RalBP1) (RalBP1-interacting protein 2)	Reps2 Pob1	Mus musculus (Mouse)	647				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8NFH8}.				NP_001277562.1;NP_839987.2;XP_006528825.1;	228794;	10090.ENSMUSP00000098661;	
Q84C00	reviewed	GUB_ACETH	Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Laminarinase) (Lichenase)	licB lam1	Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum)	334											
Q84JI6	reviewed	2AB2E_ARATH	Probable serine/threonine protein phosphatase 2A regulatory subunit B''epsilon (AtB''epsilon)	B''EPSILON At1g03960 F21M11.11	Arabidopsis thaliana (Mouse-ear cress)	529								NP_001320288.1 [Q84JI6-2];NP_001320291.1 [Q84JI6-2];NP_171892.2 [Q84JI6-1];NP_973757.1 [Q84JI6-2];	24596;	3702.AT1G03960.1;	
Q865V3	reviewed	S100G_HORSE	Protein S100-G (Calbindin-D9k) (S100 calcium-binding protein G) (Vitamin D-dependent calcium-binding protein, intestinal) (CABP)	S100G	Equus caballus (Horse)	79								NP_001075359.1;XP_005613996.1;XP_005613997.1;		9796.ENSECAP00000015147;	
Q866X0	reviewed	CABP7_PAPAN	Calcium-binding protein 7 (CaBP7) (Calneuron II) (Calneuron-2)	CABP7 CALN2	Papio anubis (Olive baboon)	215		TOPO_DOM 1..188; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 210..215; /note="Extracellular"; /evidence="ECO:0000255"	TRANSMEM 189..209; /note="Helical; Anchor for type IV membrane protein"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Cell membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}.				XP_003905447.1;		9555.ENSPANP00000013098;	
Q86V35	reviewed	CABP7_HUMAN	Calcium-binding protein 7 (CaBP7) (Calneuron II) (Calneuron-2)	CABP7 CALN2	Homo sapiens (Human)	215		TOPO_DOM 1..188; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 210..215; /note="Extracellular"; /evidence="ECO:0000255"	TRANSMEM 189..209; /note="Helical; Anchor for type IV membrane protein"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:19338761}. Cell membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}.	HELIX 32..34; /evidence="ECO:0007829|PDB:2LV7"; HELIX 35..44; /evidence="ECO:0007829|PDB:2LV7"; HELIX 55..64; /evidence="ECO:0007829|PDB:2LV7"; HELIX 74..81; /evidence="ECO:0007829|PDB:2LV7"; HELIX 91..97; /evidence="ECO:0007829|PDB:2LV7"	TURN 21..24; /evidence="ECO:0007829|PDB:2LV7"; TURN 71..73; /evidence="ECO:0007829|PDB:2LV7"	STRAND 3..5; /evidence="ECO:0007829|PDB:2LV7"; STRAND 86..89; /evidence="ECO:0007829|PDB:2LV7"	NP_872333.1;	127897;	9606.ENSP00000216144;	
Q86XE3	reviewed	MICU3_HUMAN	Calcium uptake protein 3, mitochondrial (EF-hand domain-containing family member A2)	MICU3 EFHA2	Homo sapiens (Human)	530			TRANSMEM 67..83; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	HELIX 136..139; /evidence="ECO:0007829|PDB:6AGI"; HELIX 144..152; /evidence="ECO:0007829|PDB:6AGI"; HELIX 165..173; /evidence="ECO:0007829|PDB:6AGI"; HELIX 188..196; /evidence="ECO:0007829|PDB:6AGI"; HELIX 201..203; /evidence="ECO:0007829|PDB:6AGI"; HELIX 208..211; /evidence="ECO:0007829|PDB:6AGI"; HELIX 220..231; /evidence="ECO:0007829|PDB:6AGI"; HELIX 234..244; /evidence="ECO:0007829|PDB:6AGI"; HELIX 254..263; /evidence="ECO:0007829|PDB:6AGI"; HELIX 277..288; /evidence="ECO:0007829|PDB:6AGI"; HELIX 341..347; /evidence="ECO:0007829|PDB:6AGI"; HELIX 357..380; /evidence="ECO:0007829|PDB:6AGI"; HELIX 388..396; /evidence="ECO:0007829|PDB:6AGI"; HELIX 404..414; /evidence="ECO:0007829|PDB:6AGI"; HELIX 423..434; /evidence="ECO:0007829|PDB:6AGI"; HELIX 436..448; /evidence="ECO:0007829|PDB:6AGI"; HELIX 455..466; /evidence="ECO:0007829|PDB:6AGI"; HELIX 472..482; /evidence="ECO:0007829|PDB:6AGI"; HELIX 496..498; /evidence="ECO:0007829|PDB:6AGI"	TURN 348..351; /evidence="ECO:0007829|PDB:6AGI"; TURN 492..495; /evidence="ECO:0007829|PDB:6AGI"	STRAND 155..157; /evidence="ECO:0007829|PDB:6AGI"; STRAND 160..163; /evidence="ECO:0007829|PDB:6AGI"; STRAND 184..186; /evidence="ECO:0007829|PDB:6AGJ"; STRAND 212..215; /evidence="ECO:0007829|PDB:6AGI"; STRAND 249..252; /evidence="ECO:0007829|PDB:6AGI"; STRAND 383..386; /evidence="ECO:0007829|PDB:6AGI"; STRAND 485..488; /evidence="ECO:0007829|PDB:6AGI"	NP_859074.1;	130297;	9606.ENSP00000321455;	
Q8BFR2	reviewed	FSTL5_MOUSE	Follistatin-related protein 5 (Follistatin-like protein 5) (m-D/Bsp120I 1-2)	Fstl5 Kiaa1263	Mus musculus (Mouse)	847				SUBCELLULAR LOCATION: Secreted {ECO:0000305}.				NP_001240648.1;NP_848788.2;		10090.ENSMUSP00000038506;	
Q8BG18	reviewed	NECA1_MOUSE	N-terminal EF-hand calcium-binding protein 1 (EF-hand calcium-binding protein 1)	Necab1 Efcbp1	Mus musculus (Mouse)	352	TISSUE SPECIFICITY: Expressed in brain (at protein level). Expressed in the cerebral cortex only in layer 4, thalamic nuclei (the mediodorsal nucleus), hippocampus (a small band of pyramidal neurons at the boundary between CA1 and CA3), interneurons interspersed throughout the hippocampus proper, interneurons in the hilus, bodies of the neurons but also their dendritic projections (at protein level). {ECO:0000269|PubMed:12044471}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12044471}.				NP_848732.3;	213379;	10090.ENSMUSP00000038165;	
Q8BGZ1	reviewed	HPCL4_MOUSE	Hippocalcin-like protein 4 (Neural visinin-like protein 2) (NVP-2)	Hpcal4	Mus musculus (Mouse)	191								NP_778163.1;	228357;	10090.ENSMUSP00000051487;	
Q8BP92	reviewed	RCN2_MOUSE	Reticulocalbin-2 (Taipoxin-associated calcium-binding protein 49) (TCBP-49)	Rcn2	Mus musculus (Mouse)	320				SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.				NP_036122.2;	205029;	10090.ENSMUSP00000109915;	
Q8CDU5	reviewed	EFHB_MOUSE	EF-hand domain-containing family member B (Cilia- and flagella-associated protein 21)	Efhb Cfap21	Mus musculus (Mouse)	853				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8N7U6}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:F1MMV1}.				NP_766085.2;		10090.ENSMUSP00000024725;	
Q8DLL7	reviewed	TAL_THEVB	Transaldolase (EC 2.2.1.2)	tal tll0467	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	391				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00492}.				NP_681257.1;WP_011056320.1;		197221.22294188;	
Q8K5B2	reviewed	MCFD2_MOUSE	Multiple coagulation factor deficiency protein 2 homolog (Neural stem cell-derived neuronal survival protein)	Mcfd2 Sdnsf	Mus musculus (Mouse)	145				SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}. Golgi apparatus {ECO:0000250}.				NP_647456.1;NP_789778.1;XP_006523964.1;	228760;	10090.ENSMUSP00000121820;	
Q8N475	reviewed	FSTL5_HUMAN	Follistatin-related protein 5 (Follistatin-like protein 5)	FSTL5 KIAA1263	Homo sapiens (Human)	847				SUBCELLULAR LOCATION: Secreted {ECO:0000305}.				NP_001121899.1 [Q8N475-2];NP_001121900.1 [Q8N475-3];NP_064501.2 [Q8N475-1];	121216;	9606.ENSP00000305334;	
Q8R1U2	reviewed	CGRE1_MOUSE	Cell growth regulator with EF hand domain protein 1 (Cell growth regulatory gene 11 protein) (Hydrophobestin)	Cgref1 Cgr11	Mus musculus (Mouse)	281				SUBCELLULAR LOCATION: Secreted {ECO:0000250}.				NP_001153621.1;NP_081046.1;		10090.ENSMUSP00000031051;	
Q8S1Y9	reviewed	CML1_ORYSJ	Calmodulin-like protein 1 (OsCAM61)	CML1 Os01g0810300 LOC_Os01g59530 OsJ_003721 P0468B07.35	Oryza sativa subsp. japonica (Rice)	187				SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}.				XP_015648906.1;		4530.OS01T0810300-01;	
Q8TD86	reviewed	CALL6_HUMAN	Calmodulin-like protein 6 (Calglandulin-like protein)	CALML6 CAGLP CALGP	Homo sapiens (Human)	181	TISSUE SPECIFICITY: Expressed in prostate, thymus, heart, skeleton muscle, bone marrow and ovary. {ECO:0000269|PubMed:15621662}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15621662}. Nucleus {ECO:0000269|PubMed:15621662}.				NP_619650.2;	127872;	9606.ENSP00000304643;	
Q8VC88	reviewed	GRAN_MOUSE	Grancalcin	Gca	Mus musculus (Mouse)	220				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P28676}. Cytoplasmic granule membrane {ECO:0000250|UniProtKB:P28676}; Peripheral membrane protein {ECO:0000250|UniProtKB:P28676}; Cytoplasmic side {ECO:0000250|UniProtKB:P28676}. Note=Primarily cytosolic in the absence of calcium or magnesium ions. Relocates to granules and other membranes in response to elevated calcium and magnesium levels. {ECO:0000250|UniProtKB:P28676}.				NP_663498.1;		10090.ENSMUSP00000028257;	
Q8VZQ4	reviewed	2AB2C_ARATH	Probable serine/threonine protein phosphatase 2A regulatory subunit B''gamma (AtB''gamma) (Serine/threonine protein phosphatase 2A regulatory subunit B''beta 2 isoform) (AtB''beta 2) (PP2A, B'' subunit, beta 2 isoform)	B''GAMMA At5g28900 F7P1.80	Arabidopsis thaliana (Mouse-ear cress)	536				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15610358}. Nucleus {ECO:0000269|PubMed:15610358}.				NP_198242.1;	18285;	3702.AT5G28900.1;	
Q8W4L0	reviewed	CML49_ARATH	Probable calcium-binding protein CML49 (Calmodulin-like protein 49)	CML49 At3g10300 F14P13.10	Arabidopsis thaliana (Mouse-ear cress)	335								NP_001030668.1 [Q8W4L0-4];NP_187641.2 [Q8W4L0-1];NP_850997.1 [Q8W4L0-3];NP_850998.1 [Q8W4L0-2];		3702.AT3G10300.3;	
Q91483	reviewed	PRVB2_SALSA	Parvalbumin beta 2 (Major allergen Sal s 1) (allergen Sal s 1)		Salmo salar (Atlantic salmon)	108								NP_001117189.1;			
Q91WD9	reviewed	SEGN_MOUSE	Secretagogin	Scgn	Mus musculus (Mouse)	276				SUBCELLULAR LOCATION: Cytoplasm. Secreted {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=Predominantly cytoplasmic. A small proportion is associated with secretory granules and membrane fractions (By similarity). {ECO:0000250}.				NP_663374.1;		10090.ENSMUSP00000021770;	
